Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
SSA,F5,0.8897075653076172,0.0,335783.3920951944,131241.49664806703,96435.32916912471,71149.50818567417,62666.29451277524,56329.62129755026,54969.29167669091,54860.09533922297,54860.09533922297,54860.09533922297,54860.09533922297,54860.09533922297,54860.09533922297,54860.09533922297,54860.09533922297,54860.09533922297,54860.09533922297,54860.09533922297,49678.35423796648,32742.04844443433,22273.21466653395,18860.31083672222,10560.222673990402,8212.69089777607,6786.734848719059,5715.788241540963,5103.055976405412,4713.005539718463,4350.846115612617,4102.076356215015,3972.93449282399,3922.81826537839,3867.2252051805553,3820.6413619456584,3793.1091348310897,3776.2488255219305,3766.040755067919,3758.8855525946556,3754.892837745868,3752.7624580049537,3750.4779852410334,3749.540598332757,3749.200337005223,3748.8827316125953,3748.74433574761,3748.666075892012,3748.614299545262,3748.589044603247,3748.5758788276116
SSA,F5,0.9158413410186768,0.0,538497.4912894291,150913.32056433812,87320.07375059552,63927.343398821504,53544.23403572253,50385.1499880261,45750.753464684676,40755.70806204802,36666.66718890792,33265.18968014915,30410.98598576356,27998.656721321488,26472.375664290958,26121.62455466506,26121.62455466506,26121.62455466506,26121.62455466506,26121.62455466506,26121.62455466506,18594.13167585699,11525.179851592025,9464.309167380747,6061.667263392117,4602.049570960696,3519.0730005210867,2906.6203182560903,2488.8682743707104,2299.9932823364793,2102.190308251375,1960.5242635374884,1868.8854001100474,1816.1390174931787,1788.1126771283111,1768.9961924647464,1756.4881659426296,1741.3130452132707,1736.6825382428601,1733.1338497115996,1731.0064145792858,1729.6535452247813,1728.682976093352,1728.1789544671103,1727.9329444754148,1727.81516671088,1727.733593369037,1727.6976891505612,1727.6759711988834,1727.6602033007932,1727.6524287568736
SSA,F5,0.9117896556854248,0.0,324413.54794294405,97681.59626200232,74587.05778604657,59497.05397658619,39502.056162194865,28413.84444375303,22882.124769890266,20469.277424665757,18775.42892391786,17145.05771199338,16985.31720946478,16779.996242729227,16035.372807817988,15355.990765022894,15355.990765022894,15355.990765022894,15355.990765022894,15355.990765022894,15355.990765022894,15355.990765022894,15316.70103031438,11210.333168026495,9149.136768287295,6995.212752862022,5531.609172210821,4378.178444075985,3948.245058436125,3542.9625792908255,3301.3815286085705,3101.648755873027,2926.321217973181,2838.256505195768,2814.6033153434178,2784.7511108726067,2769.849295781666,2759.5617973520134,2749.9639158772356,2744.857707700173,2741.898613351096,2740.060266958745,2739.005974319456,2738.4022959043427,2738.0611462068964,2737.8353076885965,2737.7497743278336,2737.6544092827817,2737.6208860257466,2737.595229315675,2737.583735456732
SSA,F5,0.9226953983306885,0.0,350180.8616889007,114885.66284902058,65802.32098994,45736.590388374956,41417.527921040826,34164.69059071521,31178.580663871453,28871.365686893834,27225.0379401394,25973.414888698077,25064.535398792734,24375.52287413371,23832.55370664855,23396.330300247526,23039.020702697988,23039.020702697988,23039.020702697988,23039.020702697988,23039.020702697988,23039.020702697988,18639.076739547905,10987.313598599532,6178.420008303313,5463.885414418396,4267.407427720141,3985.0250021055404,3388.8184319227057,2929.0240734251843,2714.4145685542235,2549.426863191746,2451.217721658935,2389.599049043545,2341.873321234399,2309.161481903352,2288.0556925569176,2275.299132806545,2268.224343369485,2261.697091518984,2260.1478914195973,2258.18871160028,2257.219280820351,2256.8546485259726,2256.477725602269,2256.2542497342706,2256.1128894054477,2256.031382104986,2255.9827011327634,2255.9700974459997,2255.9594086198667
SSA,F5,0.9160807132720947,0.0,185490.04964754733,51265.62720591951,51265.62720591951,51265.62720591951,45200.44401214471,40680.56145770076,36360.73564313862,31704.162675353302,27963.036617624297,25155.494211506386,23007.20095969739,21311.108634980017,19945.51621679867,18699.563223455498,17593.13228416116,16682.508214053592,16527.166751983095,16527.166751983095,14223.95814810397,12710.12272242552,12700.89244100856,7460.997516614697,4748.08014682161,3455.640713014574,2749.580452597175,2247.3354696769325,1637.0765801936568,1420.6638681355103,1280.5396897483145,1231.0855776186877,1193.9212204284536,1164.8413368920721,1146.5338000709082,1125.4506194526678,1120.1909897532764,1113.049507040314,1109.953690470513,1107.740745258229,1106.2712177456635,1105.2296743010697,1104.8054805338277,1104.4106637676314,1104.2455500197643,1104.162010403702,1104.0445426322813,1104.0192659810414,1104.0082922358156,1103.9939579149043,1103.98788382745
SSA,F5,0.93404221534729,0.0,320656.51090467256,56240.17698315892,38991.21845559403,31189.743689423663,24348.03205920306,21742.559730911384,19322.05064055991,19068.146519249687,19068.146519249687,19068.146519249687,19068.146519249687,19068.146519249687,19068.146519249687,19068.146519249687,19068.146519249687,19068.146519249687,18987.525373761604,18987.525373761604,18987.525373761604,17493.808838286375,10046.44934554866,9533.303787836281,6512.198332780709,4648.0821206759965,4013.5201042356657,3691.8359813337906,3104.2495211203022,2605.6572153242137,2483.1976672114924,2369.9039252564007,2275.7934164794674,2207.612783217369,2169.4944379798153,2143.358167590473,2121.5092185749654,2113.327636393816,2109.296394578382,2105.849077689988,2103.089901250058,2100.7840004404898,2100.1346487165506,2099.7837879513995,2099.41597777671,2099.3244320263916,2099.256894397742,2099.189580871845,2099.1555999179336,2099.1375541242282,2099.131375034333
SSA,F5,0.9205160140991211,0.0,383410.3451433501,95594.25125706272,73833.75854078776,55235.95846332122,46228.14369550545,40109.48892095941,37223.46317947184,35335.41457255685,33983.59476407654,32944.838523134975,32150.365625207283,31550.798100818978,31103.962643515053,30773.3048710076,30531.40060001702,30356.93861870867,30232.09503805706,30232.09503805706,27762.22200341963,27762.22200341963,26333.994404778856,19248.264382419766,12564.699526046412,8698.2059423637,8245.588466024892,7347.9857709070475,6294.635488302719,5745.090627779498,5336.641043487029,5124.406335426648,4968.997078426183,4860.22921658048,4800.325936260756,4760.206380470024,4728.5736281151585,4705.160895738516,4687.154784516666,4674.982780460063,4672.398636668164,4669.691194679162,4667.56694562731,4666.466724963535,4665.969005565,4665.562197840877,4665.407539140276,4665.311650053746,4665.2633715037,4665.231145233675,4665.21565488003
SSA,F5,0.9274256229400635,0.0,312856.49508577364,67508.49161961536,62476.30624540713,62026.81853887757,52933.0481829578,44023.251714676924,38651.80006334314,36262.253609969805,35996.91033235419,35996.91033235419,35996.91033235419,35996.91033235419,35996.91033235419,35996.91033235419,35996.91033235419,35996.91033235419,35996.91033235419,35996.91033235419,35996.91033235419,35996.91033235419,27290.460875589946,19275.85492863866,16620.018016217153,14680.471005820216,12801.435318503538,10347.804217935476,9693.53501562962,8563.566487125374,7941.682289568469,7654.786641531809,7456.9553647999055,7356.824145695778,7274.026200748953,7200.385774511733,7169.690440006779,7147.007962000387,7112.63727502591,7097.164740431857,7090.998977403837,7088.519689908285,7085.929276322285,7084.526664713458,7083.47402270812,7082.945983286613,7082.773850075815,7082.653040704943,7082.585278108656,7082.546866404429,7082.525627783909
SSA,F5,0.91676926612854,0.0,415067.826679527,70507.43310538378,25255.08629736094,19223.772905845653,14985.646623377299,13734.690662088966,12621.446299914562,11774.95089436459,11746.784641587106,11746.784641587106,11746.784641587106,11746.784641587106,11746.784641587106,11746.784641587106,11746.784641587106,11746.784641587106,11746.784641587106,11746.784641587106,11746.784641587106,11746.784641587106,9316.348459846446,9316.348459846446,7532.830657929426,6592.005100907414,6277.34430850694,4895.7171446499815,4810.514064005317,4164.3425612329265,3833.363517593277,3613.6823116407254,3516.541670340661,3447.276839193991,3418.329541871746,3390.1573615290295,3354.359682212553,3333.8643209171887,3326.4975783359205,3318.5958423002835,3313.6205034967065,3310.382986966465,3308.831423673041,3308.312241652083,3307.9597872708173,3307.653195614491,3307.4924543657944,3307.4060263812594,3307.3650124053706,3307.3386784487543,3307.3232595097847
SSA,F5,0.9274895191192627,0.0,304281.7018713788,129984.98405678254,73060.80786432656,56175.919171509704,45851.162246600696,43044.132453757964,39953.27765928066,38248.751969174584,35099.67708619681,32414.71282974775,30139.011456522036,28243.83182048139,26655.621632315655,25317.333639997538,24729.086231766065,24729.086231766065,24729.086231766065,24729.086231766065,20216.626617431062,16512.4551388878,11117.11816483358,7359.244626928007,6380.721598572084,3767.3729820639805,3334.5470812180665,3084.4646221254397,2760.668722780119,2470.422272029992,2329.796441143491,2186.732346515419,2111.8036941505625,2080.262926400205,2052.2864926058587,2041.3861057354288,2028.7462826225462,2021.4760352865082,2017.9297189966533,2014.872546086912,2013.294504523586,2012.2641695063721,2011.66083271665,2011.241723502771,2011.0189467713155,2010.91552461895,2010.878519690296,2010.8335578171186,2010.8171720699795,2010.8053775082785,2010.797947648747
