Optimizer,objfname,ExecutionTime,Error,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
HHO,F1,0.05568265914916992,4.0442461363837275e-25,25886.8291983217,5171.327380452928,433.1908389961178,36.04331508779548,25.614007433870103,4.934270915346913,4.934270915346913,1.022558335171277,1.022558335171277,0.7942993433429463,0.5487834384513484,0.010230159055373679,0.0013533650563580216,0.0013533650563580216,2.4925687476939714e-05,2.4925687476939714e-05,3.0094761548239727e-06,3.0094761548239727e-06,3.0094761548239727e-06,3.0094761548239727e-06,3.0094761548239727e-06,3.0094761548239727e-06,3.0094761548239727e-06,2.7783448946447595e-06,2.7783448946447595e-06,2.7783448946447595e-06,2.2246461911131337e-06,6.006233188911677e-07,2.32935238286337e-08,2.32935238286337e-08,2.32935238286337e-08,2.32935238286337e-08,2.32935238286337e-08,2.32935238286337e-08,2.32935238286337e-08,2.32935238286337e-08,2.32935238286337e-08,2.32935238286337e-08,2.461022166579056e-09,2.461022166579056e-09,9.276099106493256e-11,9.276099106493256e-11,7.244314379665144e-11,7.244314379665144e-11,7.244314379665144e-11,7.244314379665144e-11,3.1458529196819346e-11,8.438073550111031e-12,8.438073550111031e-12,8.438073550111031e-12,8.438073550111031e-12,8.438073550111031e-12,8.438073550111031e-12,8.438073550111031e-12,8.438073550111031e-12,8.438073550111031e-12,3.143670818802698e-12,1.895356691171868e-13,1.895356691171868e-13,6.608847467721242e-14,5.370673786170259e-14,5.323899331102753e-15,5.644635457701746e-16,7.937408385797902e-17,7.937408385797902e-17,7.937408385797902e-17,2.3229943830829324e-17,1.6478544159977257e-20,1.1888175569363497e-21,1.8468235257499917e-22,1.8468235257499917e-22,1.5297738214255226e-24,1.5297738214255226e-24,1.5297738214255226e-24,1.5297738214255226e-24,1.5297738214255226e-24,1.4072722669398622e-24,1.4072722669398622e-24,1.4072722669398622e-24,1.1255138425603268e-24,6.5948199998961525e-25,4.8561492365431065e-25,4.614538351059349e-25,4.608920496037408e-25,4.601468016879319e-25,4.597243378661803e-25,4.597243378661803e-25,4.596591845563892e-25,4.595880367488984e-25,4.592075301387423e-25,4.591463704652395e-25,4.590647520796135e-25,4.266562517991955e-25,4.195587126432104e-25,4.178499587494086e-25,4.0707372345107094e-25,4.057301697682739e-25,4.0507562366443113e-25,4.0456873049296507e-25,4.0442461363837275e-25
HHO,F1,0.05902719497680664,3.4287289317100904e-20,12452.105386329074,2779.108914030813,121.35814407154614,25.196128175998766,16.99965864014691,10.945073226156524,6.429778797451953,6.429778797451953,0.30707903423008714,0.24569872528872477,0.24569872528872477,0.19066651840341076,0.1367524478194086,0.1367524478194086,0.008011326835303404,0.004093223523282655,0.0031955424329302966,0.0031955424329302966,0.0031955424329302966,0.0031955424329302966,0.0031955424329302966,0.0031955424329302966,0.0031955424329302966,0.0031955424329302966,0.0031955424329302966,0.002599775576697506,0.0014096709924363317,0.0006215978967611932,0.0002502553620957051,4.3009170241865455e-07,4.3009170241865455e-07,4.161447000287871e-08,4.161447000287871e-08,4.161447000287871e-08,4.161447000287871e-08,4.161447000287871e-08,4.161447000287871e-08,4.161447000287871e-08,4.161447000287871e-08,4.161447000287871e-08,4.161447000287871e-08,1.591494813235267e-08,1.591494813235267e-08,1.591494813235267e-08,1.591494813235267e-08,1.591494813235267e-08,1.591494813235267e-08,1.591494813235267e-08,1.591494813235267e-08,1.591494813235267e-08,1.591494813235267e-08,1.591494813235267e-08,1.591494813235267e-08,1.591494813235267e-08,8.355915032144103e-09,1.914686178764642e-09,1.2774878023057373e-12,1.2774878023057373e-12,1.2774878023057373e-12,8.810595053496466e-13,1.0359501960446146e-14,1.0359501960446146e-14,1.0359501960446146e-14,9.161138599070885e-15,2.8844834618181497e-15,2.428244164146611e-16,3.2173686152920855e-18,3.2173686152920855e-18,3.2173686152920855e-18,2.5317698336596477e-18,2.5317698336596477e-18,1.6347168893986718e-18,8.846930096297302e-19,8.820419933836101e-19,7.984461890848066e-19,5.151068384333915e-19,4.350906858446418e-19,4.2799702915094774e-19,3.8438268710606367e-19,3.5524582835905257e-19,3.3999486690351543e-19,2.8687224314978295e-19,1.1906173296379583e-19,7.698528575970394e-20,6.007038174790425e-20,5.1751111132496534e-20,4.857724097267522e-20,4.15389240420067e-20,3.929929669243139e-20,3.773809399450052e-20,3.669145204594237e-20,3.6017565131206164e-20,3.579867763631844e-20,3.5380693647576133e-20,3.491642258174542e-20,3.4842963820868353e-20,3.4455251942886e-20,3.432762795143704e-20,3.430140260134549e-20,3.4287289317100904e-20
HHO,F1,0.055509328842163086,3.428247587056141e-21,11229.719003762437,5343.883934115511,3045.898807404807,205.08885538334,33.798490505185114,4.17264655887551,0.1463448876763996,0.1463448876763996,0.02719071645701135,0.0205692007659653,0.014103817866109682,0.012250114662751872,0.012250114662751872,0.012250114662751872,0.012250114662751872,0.012250114662751872,0.012250114662751872,0.012250114662751872,0.012250114662751872,0.0029461812781365363,0.0029461812781365363,0.0016140127100862341,0.0016034077503723932,0.0016034077503723932,0.0005348890243686487,0.0005348890243686487,0.0005348890243686487,3.130283687639667e-05,2.4784284630691234e-05,2.4784284630691234e-05,9.6250181455182e-07,9.6250181455182e-07,9.6250181455182e-07,9.6250181455182e-07,2.358490789431957e-07,2.2499677617451374e-07,2.2499677617451374e-07,2.2499677617451374e-07,2.2499677617451374e-07,2.2499677617451374e-07,2.2499677617451374e-07,2.2499677617451374e-07,2.2499677617451374e-07,2.2499677617451374e-07,2.244623444730054e-07,2.244623444730054e-07,2.244623444730054e-07,2.244623444730054e-07,1.9413313878920906e-07,8.331233157179465e-08,8.331233157179465e-08,7.305657840143279e-10,2.8312225732322026e-10,2.8312225732322026e-10,1.6270038992402945e-10,6.030919938991466e-11,6.414030361426178e-12,6.414030361426178e-12,6.414030361426178e-12,2.931342212364198e-12,8.292961857236315e-13,5.417597440007897e-16,5.417597440007897e-16,5.417597440007897e-16,1.0542030718853939e-16,6.154984200272984e-17,1.5369384561759835e-18,1.2267037626927979e-18,8.809123022925843e-19,8.809123022925843e-19,1.5061883006990854e-19,2.7026014634403772e-20,2.169660795598736e-20,6.330911915235808e-21,6.330911915235808e-21,6.330911915235808e-21,5.072050835924833e-21,5.053211520840796e-21,5.053211520840796e-21,4.980796251533644e-21,4.9736350990517634e-21,4.968148782186391e-21,4.956954043481765e-21,4.953551704321804e-21,4.948831707397469e-21,4.899980783422539e-21,4.6975412300384505e-21,4.166517915370972e-21,3.8153580559035336e-21,3.715644342316697e-21,3.634487333381968e-21,3.578229651853732e-21,3.540433210787346e-21,3.508519427022112e-21,3.500372761502261e-21,3.486873131578443e-21,3.44347039593964e-21,3.4367045993456194e-21,3.430416612918867e-21,3.428247587056141e-21
HHO,F1,0.05401158332824707,5.101309405009032e-19,4117.9828017827795,820.2397284170744,73.04639870246051,13.402233501069897,0.1804594452461874,0.1804594452461874,0.1723593094994738,0.036547959966162016,0.0060811768248867784,0.0060811768248867784,0.001684307447606742,0.001684307447606742,0.001684307447606742,0.0006509030716612045,0.00018927712614239605,0.00018927712614239605,0.00018927712614239605,0.00017808519316695655,0.00017808519316695655,8.820165460760077e-05,6.1857156761463356e-06,6.1857156761463356e-06,1.312772356957546e-07,3.007655026459765e-08,3.007655026459765e-08,3.007655026459765e-08,3.007655026459765e-08,3.007655026459765e-08,3.007655026459765e-08,1.9924033885028193e-08,1.9924033885028193e-08,1.9924033885028193e-08,6.511776275566027e-09,6.511776275566027e-09,6.511776275566027e-09,6.511776275566027e-09,6.511776275566027e-09,6.511776275566027e-09,6.511776275566027e-09,6.511776275566027e-09,6.511776275566027e-09,6.511776275566027e-09,6.0239307800595145e-09,6.0239307800595145e-09,6.0239307800595145e-09,6.0239307800595145e-09,6.0239307800595145e-09,6.0239307800595145e-09,6.0239307800595145e-09,1.4539159188990976e-09,1.4539159188990976e-09,6.090966340234254e-10,1.264683674372155e-10,5.2239829849241064e-11,1.663125268883508e-12,7.778767446355156e-13,9.135469857908315e-14,9.135469857908315e-14,9.135469857908315e-14,9.135469857908315e-14,4.0307953905389794e-14,8.442071344797335e-15,1.73038927825977e-15,1.73038927825977e-15,1.5169504966932346e-15,1.2466386449902768e-15,1.2116914965869287e-15,8.350068244314967e-16,2.903798236430425e-16,2.962957634762205e-17,1.2388551970800042e-17,1.2388551970800042e-17,7.446423225005333e-18,7.446423225005333e-18,7.446423225005333e-18,6.270462584459642e-18,5.741081323227417e-18,4.014531558701754e-18,2.5813475633674996e-18,2.367950856694189e-18,1.876661621252534e-18,1.7127500140523327e-18,1.6793388583605264e-18,1.5889653005716715e-18,1.4367101170372518e-18,1.3544081044369852e-18,1.0223056949334788e-18,9.634972477881418e-19,6.27215923263333e-19,5.835900402795706e-19,5.52366859979397e-19,5.280211235625339e-19,5.248320043109005e-19,5.228274800642817e-19,5.197086936592514e-19,5.18541429684207e-19,5.126996515260764e-19,5.111631163022659e-19,5.10710898388185e-19,5.101309405009032e-19
HHO,F1,0.056012868881225586,7.548289848111609e-20,8991.285214987942,3836.409624999554,619.7520977819818,187.01347026167397,91.37924729264714,80.44192279586976,6.00398063244327,1.9066115287955891,1.4403187181934436,0.5944311866832896,0.5553671324591931,0.40290955618315444,0.24447123596207013,0.2176728634575767,0.14249588657615148,0.04501335004566159,0.03214183197088396,0.010538511804777932,0.007005415149053342,0.0007690412621705879,0.0007690412621705879,0.0007690412621705879,0.0007690412621705879,0.0006424611578051103,7.204553449056495e-05,7.204553449056495e-05,3.2942915430067806e-05,3.2942915430067806e-05,1.7506747931520382e-05,1.7506747931520382e-05,1.6097020305036525e-07,1.2262397212756105e-07,3.133882038760603e-08,3.133882038760603e-08,3.133882038760603e-08,3.133882038760603e-08,3.133882038760603e-08,3.133882038760603e-08,5.113532849937145e-09,5.113532849937145e-09,2.932429282116406e-09,2.932429282116406e-09,2.932429282116406e-09,2.932429282116406e-09,2.932429282116406e-09,2.932429282116406e-09,1.4007077909743256e-09,3.708627644754989e-10,3.708627644754989e-10,7.169069286235445e-11,7.169069286235445e-11,1.4076314228746517e-11,1.4076314228746517e-11,7.411022452652913e-12,3.693681926551196e-12,2.1978850125516806e-12,7.305751157378711e-14,7.305751157378711e-14,7.305751157378711e-14,1.9253057886712094e-14,5.15773774600493e-15,1.86522826540758e-15,1.86522826540758e-15,3.4712887550041557e-17,3.4712887550041557e-17,3.4712887550041557e-17,3.4712887550041557e-17,3.4712887550041557e-17,1.982221621604765e-17,5.571112409971824e-18,5.571112409971824e-18,4.166981447516023e-18,3.3362547982033544e-19,3.3362547982033544e-19,3.3362547982033544e-19,1.5490701791357623e-19,1.5490701791357623e-19,1.359454335860501e-19,1.1331018754709237e-19,1.0556492725284238e-19,9.676594884787383e-20,9.607664268462541e-20,9.604388782926917e-20,9.588132391894869e-20,9.570345827490431e-20,9.563822286848961e-20,9.558350663469496e-20,9.55624130253331e-20,9.553549057269017e-20,9.55298772064205e-20,9.552375581024931e-20,8.404394048696659e-20,7.867650751357216e-20,7.697797602492048e-20,7.621564702074307e-20,7.609840141299049e-20,7.59855124590541e-20,7.579391126818408e-20,7.549954543466173e-20,7.548289848111609e-20
HHO,F1,0.05452322959899902,3.677128462948746e-21,59192.04260391873,801.9194241160649,39.09562677160887,39.09562677160887,32.70748844340891,5.06061301374228,5.06061301374228,2.442637608513052,0.0007853664599379897,0.0007853664599379897,0.0007853664599379897,0.0007853664599379897,0.0007266959925967901,0.00018935132490864888,0.00018935132490864888,0.00018935132490864888,3.345133990019167e-05,3.345133990019167e-05,1.297525993091112e-05,1.297525993091112e-05,1.297525993091112e-05,1.297525993091112e-05,1.297525993091112e-05,1.297525993091112e-05,6.781573351161837e-06,1.3712372578898888e-06,1.3712372578898888e-06,4.1873577751240785e-07,4.1873577751240785e-07,3.1565540282783066e-08,3.1565540282783066e-08,3.977985341203661e-09,3.977985341203661e-09,5.441197790011456e-10,5.441197790011456e-10,5.441197790011456e-10,5.441197790011456e-10,5.441197790011456e-10,5.441197790011456e-10,5.441197790011456e-10,5.441197790011456e-10,5.441197790011456e-10,5.441197790011456e-10,5.441197790011456e-10,5.441197790011456e-10,5.441197790011456e-10,5.441197790011456e-10,5.441197790011456e-10,5.441197790011456e-10,5.441197790011456e-10,3.5195404659107543e-10,1.3374271039187731e-11,1.3374271039187731e-11,1.3374271039187731e-11,7.128757730081616e-13,6.709923249187397e-13,2.3263130123795044e-13,2.0101749774063624e-14,1.3231573991104822e-14,1.0620274407756067e-14,9.5462500680632e-15,5.482587836745884e-16,5.482587836745884e-16,4.594206014750046e-16,4.594206014750046e-16,4.594206014750046e-16,1.532494562324444e-16,1.2398770955744715e-16,1.2398770955744715e-16,1.0996571694670217e-16,4.041571041299135e-17,9.13551858372328e-18,2.761775603244666e-18,2.7336674276386393e-18,2.7701329597389266e-19,9.554235943353458e-21,7.919283294084018e-21,7.919283294084018e-21,4.973353706193776e-21,4.53894470354962e-21,4.3278581041856085e-21,4.258044771483451e-21,4.156451315152714e-21,4.018780703501558e-21,3.97239544680302e-21,3.9621580107679565e-21,3.923577246950594e-21,3.9061938450392895e-21,3.872620096844324e-21,3.865174361038172e-21,3.753311479266216e-21,3.747209304159803e-21,3.736779306257741e-21,3.731811632666205e-21,3.7241008807142285e-21,3.719174151356326e-21,3.71065391865336e-21,3.690885619608138e-21,3.68017104015716e-21,3.677128462948746e-21
HHO,F1,0.05401206016540527,1.712938404381321e-21,42603.730945112635,2302.5141203617827,1095.1490730933392,0.24636154872059848,0.24636154872059848,0.24636154872059848,0.24636154872059848,0.10876687554828228,0.10876687554828228,0.07306596591211825,0.011569802802315315,0.011569802802315315,0.006751809403253706,0.006751809403253706,0.003168033272493503,4.559911109956467e-06,2.2295174017939946e-06,2.2295174017939946e-06,2.2295174017939946e-06,2.2295174017939946e-06,2.2295174017939946e-06,2.2295174017939946e-06,2.2295174017939946e-06,2.2295174017939946e-06,2.2295174017939946e-06,2.2295174017939946e-06,2.2295174017939946e-06,2.2295174017939946e-06,2.2295174017939946e-06,2.2295174017939946e-06,2.2295174017939946e-06,2.2295174017939946e-06,8.197977934400998e-07,1.9261370175717425e-07,1.9261370175717425e-07,3.619523643758954e-08,3.619523643758954e-08,8.95563035598081e-09,8.95563035598081e-09,5.513449071586628e-09,5.120087306241614e-09,7.40773645730703e-11,7.40773645730703e-11,7.40773645730703e-11,7.40773645730703e-11,7.40773645730703e-11,2.2982036680431143e-11,2.2982036680431143e-11,6.239519516179827e-12,2.2725501770699485e-12,2.2725501770699485e-12,2.2725501770699485e-12,1.3339273753499706e-12,4.967379664614559e-13,4.967379664614559e-13,1.189708667575206e-15,1.189708667575206e-15,1.0596676744715494e-16,7.797300153746533e-17,7.797300153746533e-17,7.797300153746533e-17,7.797300153746533e-17,6.805926215725023e-17,2.826685052937414e-17,2.826685052937414e-17,5.062899489437315e-18,4.8150686750769365e-18,4.782173089058899e-18,4.540025708482651e-18,4.491245746025427e-18,4.491245746025427e-18,2.6984529337569946e-19,2.6984529337569946e-19,8.84286250729925e-20,6.666492063634623e-20,1.5396659871985755e-20,1.5396659871985755e-20,1.5396659871985755e-20,1.4685918191759253e-20,1.4340614695067956e-20,1.223489811329889e-20,6.147117075496423e-21,5.945812493587895e-21,5.86076995278728e-21,4.919073125914022e-21,3.726887815774641e-21,2.429511962357847e-21,1.953822847185524e-21,1.842039060225995e-21,1.816241605582148e-21,1.8000544870646617e-21,1.745864816434382e-21,1.7360172274682862e-21,1.724029735497387e-21,1.717758213404445e-21,1.715535608041072e-21,1.7146634825777074e-21,1.714247266785199e-21,1.7137997805988854e-21,1.712938404381321e-21
HHO,F1,0.0545198917388916,2.324089511935661e-21,21755.82787203451,6405.811920805137,1040.1582610782932,253.00536423607548,89.79713858761383,73.34030116785273,38.25329864061227,19.195544743244092,1.2166737977030286,0.6063937446957345,0.5568733592045766,0.3372159056666574,0.31553188722890657,0.05304269725322353,0.008929079393365704,0.008929079393365704,0.008929079393365704,0.007193662608619804,0.007193662608619804,0.0032956379975022493,0.0032956379975022493,0.0032956379975022493,0.0029787032192305466,0.0002673429443681414,1.0717575400798757e-05,1.0717575400798757e-05,8.105416347726353e-06,8.105416347726353e-06,8.105416347726353e-06,8.105416347726353e-06,8.105416347726353e-06,8.105416347726353e-06,8.105416347726353e-06,8.105416347726353e-06,8.105416347726353e-06,8.105416347726353e-06,5.297396817179477e-06,5.297396817179477e-06,5.297396817179477e-06,5.297396817179477e-06,5.297396817179477e-06,5.297396817179477e-06,5.297396817179477e-06,2.810544909414667e-06,3.799490537388435e-09,3.799490537388435e-09,3.558689036780133e-09,1.921058501764414e-09,2.4073322314849516e-10,8.557786421892548e-11,2.1537615443695623e-11,2.1537615443695623e-11,1.983059735375239e-11,1.841970162003622e-11,2.4029219932213057e-12,2.445932759232595e-13,2.445932759232595e-13,2.445932759232595e-13,2.445932759232595e-13,2.086290869365204e-14,2.086290869365204e-14,1.0170959295297996e-14,2.688861919142292e-16,2.688861919142292e-16,1.696659001815483e-16,1.1153267891637278e-16,1.1153267891637278e-16,1.0141202993054209e-16,9.199716574128668e-17,1.0487160016279268e-17,4.921761746942261e-18,1.2904562285055015e-18,1.1489053687410004e-18,4.8126982233682064e-20,3.599647909951579e-20,3.580051555195453e-20,3.580051555195453e-20,1.6836856547608918e-20,9.150169666671005e-21,8.358138811098666e-21,8.082560725747337e-21,7.829347982093725e-21,7.600487051408186e-21,7.495202658856276e-21,6.989710051041928e-21,4.361896622545215e-21,4.0232015929726534e-21,3.722823309055722e-21,2.6969092004222114e-21,2.5510074278643332e-21,2.470959165851597e-21,2.4101800396558804e-21,2.367607688641619e-21,2.3422975573163647e-21,2.337877271967476e-21,2.3330849529496955e-21,2.3315104897813696e-21,2.3282116529098138e-21,2.3248636691784005e-21,2.324089511935661e-21
HHO,F1,0.05099987983703613,4.7534840146537564e-18,17721.657897143934,4261.904733720232,1026.1948146620084,251.89034942946793,203.29263454972556,35.63301675769389,35.63301675769389,28.006896338193542,7.422042888309084,7.422042888309084,7.422042888309084,2.5599608494191077,0.908593601450234,0.8905759282919194,0.8782325633722853,0.8755053954373009,0.2553197350439174,0.2553197350439174,0.11707085446193316,0.056158250743236535,0.056158250743236535,0.006380948965736673,0.0033040858930300492,0.0004466763064732913,0.00011553777032027717,0.00011553777032027717,3.525222202236856e-05,3.525222202236856e-05,3.525222202236856e-05,3.4266543642623296e-05,3.4266543642623296e-05,5.936662388457963e-06,1.0242156133442677e-06,1.0242156133442677e-06,1.0242156133442677e-06,1.0242156133442677e-06,1.0242156133442677e-06,1.0242156133442677e-06,1.0242156133442677e-06,7.149465178881759e-07,7.149465178881759e-07,2.570340398007867e-07,2.0901987803232178e-07,2.0901987803232178e-07,1.3903336971266098e-07,1.3582868926525965e-07,1.3582868926525965e-07,3.667237553223271e-08,8.968772093520692e-10,1.2255036191821086e-10,7.689569768843234e-11,1.6588686663778813e-11,5.3882044040786395e-12,5.351504423364852e-12,4.896729393352788e-12,1.857719620321048e-12,1.857719620321048e-12,1.857719620321048e-12,5.289080376471983e-13,3.6520971531043893e-13,1.3171807301166803e-13,1.3171807301166803e-13,7.302765572564933e-14,5.546380706462359e-15,1.6969746214808667e-15,1.2403194167057819e-15,5.257424133544594e-17,5.257424133544594e-17,1.0333427865809376e-17,1.0333427865809376e-17,9.586979812263129e-18,8.324102506953516e-18,8.324102506953516e-18,8.324102506953516e-18,8.258115166518394e-18,8.258115166518394e-18,8.253003034298377e-18,7.708728222283394e-18,7.635978052084188e-18,7.588981067084776e-18,7.31363452468477e-18,7.229996033415265e-18,7.219601426345015e-18,7.168952644447808e-18,7.069398216963801e-18,5.777221395525541e-18,5.199827419741638e-18,5.016498587005524e-18,4.945270357527145e-18,4.921735855482391e-18,4.911490088005972e-18,4.8958230470776874e-18,4.882368179433387e-18,4.878843695750487e-18,4.862576832708317e-18,4.807524522204282e-18,4.800624623681374e-18,4.767236817932441e-18,4.757204768585404e-18,4.7534840146537564e-18
HHO,F1,0.054010629653930664,1.4196469237335452e-19,16839.554098116634,901.430486285507,518.5139535675683,35.41233710838197,34.809094010838955,9.097177372995153,1.5399363688469456,1.4901708988402738,1.4901708988402738,1.4901708988402738,1.4901708988402738,1.4901708988402738,1.4901708988402738,0.10080868211582926,0.10080868211582926,0.0009014787745531738,0.0009014787745531738,0.0009014787745531738,0.0009014787745531738,5.157382909127415e-05,1.0269512654233161e-05,1.0269512654233161e-05,1.0269512654233161e-05,1.0269512654233161e-05,1.7426379773426793e-06,1.7426379773426793e-06,3.5680273784036573e-07,3.5680273784036573e-07,3.5680273784036573e-07,3.5680273784036573e-07,3.5680273784036573e-07,3.5680273784036573e-07,3.5680273784036573e-07,3.5680273784036573e-07,3.5680273784036573e-07,3.5680273784036573e-07,3.5680273784036573e-07,3.5680273784036573e-07,3.5680273784036573e-07,3.2278690743208103e-07,1.8132591986599732e-07,1.808976182205228e-07,1.808976182205228e-07,6.023561480737934e-09,3.5398796832975127e-09,3.5398796832975127e-09,3.5398796832975127e-09,2.2563655172023647e-11,2.20136969786494e-13,1.4635974212413096e-13,1.4635974212413096e-13,1.4635974212413096e-13,1.4635974212413096e-13,7.698713783189845e-14,7.698713783189845e-14,7.698713783189845e-14,7.698713783189845e-14,3.4674599383227104e-14,3.4674599383227104e-14,3.4674599383227104e-14,3.1925144093162527e-15,2.455439409591126e-16,3.022908218111459e-17,3.022908218111459e-17,2.494786822391316e-17,3.613239288431998e-18,3.613239288431998e-18,3.613239288431998e-18,1.767680583034379e-18,1.767680583034379e-18,1.7361962385318914e-18,1.0007784406923253e-18,7.281528637972575e-19,7.281528637972575e-19,7.281528637972575e-19,7.260308808355579e-19,6.871349885996989e-19,5.689444061522705e-19,5.000185209086923e-19,4.678899025280935e-19,3.796006795225015e-19,3.623052413832645e-19,3.590327365043323e-19,3.469661091177719e-19,3.390321589269146e-19,3.3580856610689025e-19,2.8511831518049114e-19,2.109855907733825e-19,1.8395939974918303e-19,1.58345120911019e-19,1.5141618692423765e-19,1.476534813369719e-19,1.458288696467114e-19,1.446659758473276e-19,1.4419249397563104e-19,1.4324142343450582e-19,1.4232094467223523e-19,1.4205984065526974e-19,1.4202056532580963e-19,1.4196469237335452e-19
