Optimizer,objfname,ExecutionTime,MinError,MeanError,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
HHO,F1,0.05,5.496354870595219e-26,9.528766325582224e-18,21503.23,3843.07,1284.48,343.1,135.69,47.14,14.01,4.79,3.29,2.05,1.37,0.41,0.15,0.08,0.04,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F2,0.07,4.076542263240017e-15,4.2782500067496983e-10,3625331724.78,160.93,16.42,8.1,4.44,2.77,1.72,1.18,0.7,0.38,0.31,0.25,0.17,0.13,0.09,0.08,0.07,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F3,0.34,6.012916405642319e-22,4.632289571073207e-11,105496.72,59086.34,27618.41,14066.46,9356.46,6052.21,4841.42,3409.8,1376.17,690.98,504.38,324.13,153.57,115.93,71.49,40.91,33.58,19.4,14.92,12.22,12.14,8.59,8.41,7.32,6.71,6.45,6.05,6.04,4.91,2.62,1.75,1.24,0.79,0.79,0.76,0.69,0.46,0.36,0.36,0.08,0.04,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F4,0.05,1.0556168469811073e-13,3.2810854700424125e-10,54.48,20.96,11.71,6.37,3.55,1.95,1.17,0.81,0.51,0.35,0.23,0.15,0.08,0.05,0.04,0.02,0.02,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F5,0.07,0.00015443758442511618,0.11409406625587905,558588.26,22208.05,2819.64,418.76,137.18,52.85,35.47,29.17,25.99,20.82,16.49,13.66,9.89,7.09,5.46,4.96,4.88,3.41,2.46,1.95,1.88,1.41,1.3,0.96,0.79,0.55,0.5,0.47,0.41,0.41,0.36,0.34,0.28,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.22,0.21,0.19,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
HHO,F6,0.06,1.2805772303607728e-06,0.0030477250773074762,20535.62,3452.65,1077.15,334.73,105.28,50.76,11.79,5.76,3.82,2.15,1.63,1.15,1.03,0.88,0.72,0.61,0.49,0.44,0.3,0.21,0.16,0.15,0.11,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F7,0.08,4.4219502365928185e-05,0.001216460172016275,20.31,0.96,0.31,0.16,0.1,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F8,0.06,0.01631086805173254,158.50613150537666,-2852.54,-3438.59,-4250.63,-4940.38,-6012.21,-6837.09,-7624.28,-8011.09,-8408.34,-8994.58,-9304.85,-9765.75,-10308.62,-10564.97,-10942.5,-11050.45,-11070.45,-11085.77,-11162.57,-11175.81,-11307.01,-11492.44,-11508.3,-11699.62,-11897.03,-11925.82,-11938.06,-11940.89,-11957.76,-11969.51,-12080.7,-12195.59,-12298.39,-12389.16,-12392.67,-12397.07,-12400.23,-12400.91,-12400.97,-12401.13,-12401.2,-12401.25,-12401.26,-12401.29,-12401.43,-12401.47,-12401.57,-12403.71,-12404.93,-12405.18,-12405.37,-12405.48,-12405.5,-12405.6,-12405.85,-12406.05,-12406.62,-12406.96,-12407.75,-12407.89,-12408.12,-12408.54,-12408.71,-12408.84,-12408.92,-12409.24,-12409.3,-12409.68,-12409.73,-12409.75,-12409.83,-12409.95,-12409.99,-12410.05,-12410.12,-12410.17,-12410.23,-12410.32,-12410.38,-12410.44,-12410.52,-12410.55,-12410.6,-12410.63,-12410.68,-12410.7,-12410.72,-12410.74,-12410.76,-12410.77,-12410.79,-12410.83,-12410.84,-12410.87,-12410.88,-12410.91,-12410.93,-12410.94,-12410.97,-12410.99
HHO,F9,0.06,0.0,0.0,326.96,241.24,204.23,148.16,99.64,58.71,28.69,17.69,9.64,6.21,2.06,1.1,0.24,0.19,0.09,0.04,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F10,0.08,6.470379787515412e-13,7.0844041744067e-11,17.34,11.24,7.22,4.96,3.77,2.57,1.48,1.05,0.5,0.38,0.28,0.19,0.12,0.1,0.07,0.05,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
